ts,stage,reason,price,extra
2025-11-08T09:10:51.989747,trend,"no_trend_signal:3m=last_candle_range_too_small,15m=LONG",103150.5000,
2025-11-08T09:10:53.455603,range,range_blocked:15m_ema_dist_gt_0.002,103150.5000,
2025-11-08T09:10:55.523942,trend,"no_trend_signal:3m=last_candle_range_too_small,15m=LONG",103160.0000,
2025-11-08T09:10:55.528927,range,range_blocked:15m_ema_dist_gt_0.002,103160.0000,
2025-11-08T09:10:57.558337,trend,"no_trend_signal:3m=last_candle_range_too_small,15m=LONG",103150.5000,
2025-11-08T09:10:57.563270,range,range_blocked:15m_ema_dist_gt_0.002,103150.5000,
2025-11-08T09:10:59.651239,trend,"no_trend_signal:3m=last_candle_range_too_small,15m=LONG",103160.0000,
2025-11-08T09:10:59.652207,range,range_blocked:15m_ema_dist_gt_0.002,103160.0000,
2025-11-08T09:11:01.742417,trend,"no_trend_signal:3m=last_candle_range_too_small,15m=LONG",103160.0000,
2025-11-08T09:11:01.744516,range,range_blocked:15m_ema_dist_gt_0.002,103160.0000,
2025-11-08T09:11:03.806253,trend,"no_trend_signal:3m=last_candle_range_too_small,15m=LONG",103160.0000,
2025-11-08T09:11:03.809203,range,range_blocked:15m_ema_dist_gt_0.002,103160.0000,
2025-11-08T09:11:05.864802,trend,"no_trend_signal:3m=last_candle_range_too_small,15m=LONG",103138.4000,
2025-11-08T09:11:05.865731,range,range_blocked:15m_ema_dist_gt_0.002,103138.4000,
2025-11-08T09:11:07.928725,trend,"no_trend_signal:3m=last_candle_range_too_small,15m=LONG",103138.4000,
2025-11-08T09:11:07.929751,range,range_blocked:15m_ema_dist_gt_0.002,103138.4000,
2025-11-08T09:11:09.968199,trend,"no_trend_signal:3m=last_candle_range_too_small,15m=LONG",103138.4000,
2025-11-08T09:11:09.969217,range,range_blocked:15m_ema_dist_gt_0.002,103138.4000,
2025-11-08T09:11:12.013289,trend,"no_trend_signal:3m=last_candle_range_too_small,15m=LONG",103138.4000,
2025-11-08T09:11:12.014307,range,range_blocked:15m_ema_dist_gt_0.002,103138.4000,
2025-11-08T09:11:14.068301,trend,"no_trend_signal:3m=last_candle_range_too_small,15m=LONG",103138.4000,
2025-11-08T09:11:14.069299,range,range_blocked:15m_ema_dist_gt_0.002,103138.4000,
2025-11-08T09:11:16.087656,trend,"no_trend_signal:3m=last_candle_range_too_small,15m=LONG",103138.4000,
2025-11-08T09:11:16.088624,range,range_blocked:15m_ema_dist_gt_0.002,103138.4000,
2025-11-08T09:11:18.165692,trend,"no_trend_signal:3m=last_candle_range_too_small,15m=LONG",103135.4000,
2025-11-08T09:11:18.167671,range,range_blocked:15m_ema_dist_gt_0.002,103135.4000,
2025-11-08T09:11:20.235186,trend,"no_trend_signal:3m=last_candle_range_too_small,15m=LONG",103135.4000,
2025-11-08T09:11:20.236182,range,range_blocked:15m_ema_dist_gt_0.002,103135.4000,
